año,alcaldia,colonia,bimestre,indice_des,CPDomestico,CTDomestico,CPNODomestico,CTNODomestico,CPMixto,CTMixto,consumo_total,consumo_prom
2019,AZCAPOTZALCO,DEL GAS,3,ALTO,9.46,473.25,87.23,87.23,0.0,0.0,560.48,10.99
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,BAJO,14.1,1833.25,2.18,2.18,58.05,290.25,2125.68,15.63
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,POPULAR,24.22,51802.14,1.6,412.39,0.0,0.0,52214.53,21.79
2019,COYOACAN,SAN MATEO,3,MEDIO,17.23,654.67,1.64,9.83,58.08,232.34,896.84,18.68
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,BAJO,54.13,1515.76,9.1,54.62,54.17,379.22,1949.6,47.55
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,BAJO,54.13,1515.76,9.1,54.62,54.17,379.22,1949.6,47.55
2019,AZCAPOTZALCO,SANTA INES,3,BAJO,32.13,2474.22,163.81,1146.64,29.97,89.91,3710.77,42.65
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,POPULAR,35.49,2484.62,19.27,38.54,136.16,680.78,3203.94,41.61
2019,AZCAPOTZALCO,BARRIO SANTA APOLONIA,3,BAJO,27.55,1405.09,2.62,5.25,97.29,681.01,2091.35,34.86
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,POPULAR,35.49,2484.62,19.27,38.54,136.16,680.78,3203.94,41.61
2019,AZCAPOTZALCO,PUEBLO SAN MARTIN XOCHINAHUAC,3,POPULAR,19.49,2319.73,402.17,8847.66,0.0,0.0,11167.39,79.2
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,BAJO,32.85,295.65,16.37,32.74,0.0,0.0,328.39,29.85
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,MEDIO,20.12,1750.67,19.2,76.8,46.65,279.91,2107.38,21.73
2019,AZCAPOTZALCO,PETROLERA,3,MEDIO,24.58,417.88,7.8,23.4,61.42,122.84,564.12,25.64
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,POPULAR,13.77,1624.82,20.54,41.07,0.0,0.0,1665.89,13.88
2019,AZCAPOTZALCO,EX HACIENDA DEL ROSARIO,3,POPULAR,13.77,1624.82,20.54,41.07,0.0,0.0,1665.89,13.88
2019,AZCAPOTZALCO,PUEBLO SANTO DOMINGO,3,BAJO,42.65,1151.52,10.08,50.4,51.07,459.67,1661.59,40.53
2019,AZCAPOTZALCO,PUEBLO SANTO DOMINGO,3,BAJO,56.74,453.9,126.22,504.86,57.95,57.95,1016.71,78.21
2019,AZCAPOTZALCO,PUEBLO SANTO DOMINGO,3,BAJO,65.27,65.27,28.33,169.98,50.46,201.86,437.11,39.74
2019,AZCAPOTZALCO,LA PRECIOSA,3,BAJO,18.03,2542.52,7.81,85.89,41.3,371.7,3000.11,18.63
2019,AZCAPOTZALCO,LA PRECIOSA,3,POPULAR,29.01,3567.85,4.33,17.32,71.41,285.64,3870.81,29.55
2019,AZCAPOTZALCO,LA PRECIOSA,3,BAJO,55.32,885.07,24.32,145.89,65.76,263.04,1294.0,49.77
2019,AZCAPOTZALCO,LA PRECIOSA,3,POPULAR,33.39,968.29,39.78,198.88,44.48,355.87,1523.04,36.26
2019,AZCAPOTZALCO,LA PRECIOSA,3,BAJO,41.08,1561.14,127.39,254.78,60.09,120.18,1936.1,46.1
2019,AZCAPOTZALCO,LA PRECIOSA,3,BAJO,30.33,1971.31,13.58,108.62,28.7,430.46,2510.39,28.53
2019,TLALPAN,PE&A POBRE,3,ALTO,29.66,296.65,20.12,80.48,131.64,131.64,508.77,33.92
2019,AZCAPOTZALCO,PUEBLO SAN JUAN TLIHUACA,3,POPULAR,17.67,3250.69,10.15,40.62,62.47,499.78,3791.09,19.34
2019,AZCAPOTZALCO,BARRIO SANTA APOLONIA,3,BAJO,27.55,1405.09,2.62,5.25,97.29,681.01,2091.35,34.86
2019,AZCAPOTZALCO,PETROLERA,3,BAJO,34.91,837.82,146.94,293.89,47.81,95.62,1227.33,43.83
2019,AZCAPOTZALCO,PETROLERA,3,MEDIO,24.88,1294.0,9.92,59.52,0.0,0.0,1353.52,23.34
2019,AZCAPOTZALCO,PETROLERA,3,BAJO,38.12,1258.04,15.86,15.86,32.94,32.94,1306.84,37.34
2019,AZCAPOTZALCO,PLENITUD,3,POPULAR,40.76,244.59,101.87,101.87,0.0,0.0,346.46,49.49
2019,AZCAPOTZALCO,PETROLERA,3,BAJO,25.66,2283.74,0.42,1.7,69.96,139.92,2425.36,25.53
2019,AZCAPOTZALCO,BARRIO SAN MATEO,3,POPULAR,15.74,3320.56,19.18,191.79,55.7,612.75,4125.1,17.78
2019,AZCAPOTZALCO,AMPLIACION PETROLERA,3,BAJO,20.03,2964.02,44.82,268.95,92.91,464.56,3697.53,23.25
2019,AZCAPOTZALCO,PUEBLO SAN FRANCISCO TETECALA,3,POPULAR,26.92,5356.6,14.91,59.65,74.97,224.9,5641.15,27.38
2019,AZCAPOTZALCO,PUEBLO SAN BARTOLO CAHUALTONGO,3,BAJO,21.8,9938.89,48.69,438.23,66.1,528.77,10905.89,23.06
2019,AZCAPOTZALCO,PUEBLO SAN BARTOLO CAHUALTONGO,3,POPULAR,34.38,2681.33,6.51,13.02,100.23,501.14,3195.49,37.59
2019,AZCAPOTZALCO,PUEBLO SAN PEDRO XALPA,3,POPULAR,22.47,16493.57,41.89,460.74,63.58,890.07,17844.38,23.51
2019,AZCAPOTZALCO,PUEBLO SAN BARTOLO CAHUALTONGO,3,BAJO,15.79,615.87,23.82,95.27,13.8,13.8,724.94,16.48
2019,AZCAPOTZALCO,PUEBLO SAN MIGUEL AMANTLA,3,BAJO,49.78,547.54,54.77,273.84,61.61,184.83,1006.21,52.96
2019,AZCAPOTZALCO,PUEBLO SAN MIGUEL AMANTLA,3,BAJO,33.87,1049.84,43.33,259.97,62.4,624.02,1933.83,41.15
2019,AZCAPOTZALCO,PUEBLO SAN MIGUEL AMANTLA,3,POPULAR,39.18,2272.2,116.88,1402.52,52.9,1005.11,4679.83,52.58
2019,AZCAPOTZALCO,BARRIO SANTA APOLONIA,3,POPULAR,24.57,491.39,18.82,37.65,49.54,346.8,875.84,30.2
2019,AZCAPOTZALCO,BARRIO SANTA APOLONIA,3,POPULAR,31.32,3445.64,17.19,85.96,51.25,256.24,3787.84,31.57
2019,AZCAPOTZALCO,BARRIO SANTA APOLONIA,3,POPULAR,47.73,1145.6,439.19,5709.51,0.0,0.0,6855.11,185.27
2019,AZCAPOTZALCO,PLENITUD,3,BAJO,46.66,559.97,0.76,0.76,34.77,69.54,630.27,42.02
2019,AZCAPOTZALCO,BARRIO SANTA LUCIA,3,BAJO,32.72,458.15,36.42,291.38,62.63,438.42,1187.95,40.96
2019,AZCAPOTZALCO,BARRIO SANTA LUCIA,3,BAJO,40.49,971.8,21.96,21.96,38.19,114.57,1108.33,39.58
2019,AZCAPOTZALCO,PLENITUD,3,BAJO,57.31,573.13,53.42,106.83,0.0,0.0,679.96,56.66
2019,AZCAPOTZALCO,PLENITUD,3,BAJO,24.74,2201.49,9.15,9.15,48.28,144.84,2355.48,25.33
2019,AZCAPOTZALCO,PLENITUD,3,POPULAR,21.63,475.91,0.0,0.0,38.98,116.95,592.86,22.8
2019,AZCAPOTZALCO,PLENITUD,3,BAJO,33.76,776.37,34.77,69.54,91.07,273.22,1119.13,39.97
2019,AZCAPOTZALCO,PLENITUD,3,BAJO,80.52,80.52,210.45,210.45,21.67,43.34,334.31,83.58
